AGE,SEXE,BEN_REG,DNB,REM,BSE
20,2,32,21,222.55,321.3
20,2,32,749,7941.69,11362.4
20,2,32,22,300.78,341.55
20,2,32,15,140.34,224
20,2,32,1223,11380.14,18576.65
20,2,32,45,633.07,674.65
20,2,32,24,289.35,365.25
20,2,32,766,7771.29,11610.25
20,2,28,52,671.88,788.55
20,2,28,299,3012.14,4519.05
20,2,28,511,4825.99,7716
20,2,28,270,2598.62,4102.55
20,2,27,58,751.55,882.8
20,2,27,16,147.57,245.95
20,2,27,1130,11229.81,17178.1
20,2,27,28,277.05,427.1
20,2,27,1126,10422.25,17184.6
20,2,27,288,2766.23,4386.4
20,2,24,47,579.55,725.45
20,2,24,309,3199.79,4687.8
20,2,24,410,3790.87,6228.45
20,2,24,151,1458.06,2292.6
20,2,11,43,414.34,658
20,2,11,3038,32283.2,46168.5
20,2,11,80,744.01,1205.7
20,2,11,20,217.26,301.8
20,2,11,11,126.56,166.55
20,2,11,175,2388.99,2657.1
20,2,11,51,505.38,770.25
20,2,11,4795,44966.53,72967.9
20,2,11,87,1203.72,1318.5
20,2,11,92,914.91,1390.3
20,2,11,25,286.47,380.7
20,2,11,19,208.05,294.55
20,2,11,1259,12215.08,19091.45
20,2,5,20,270.57,339.85
20,2,5,590,7028.21,10792.4
20,2,5,15,171.22,261.6
20,2,5,918,9704.1,16550.4
20,2,5,33,365.92,585.3
20,2,5,506,5605.48,9025.55
20,1,99,14,178.77,211.1
20,1,99,17,182.25,263.25
20,1,93,32,390.12,476.45
20,1,93,27,259.63,410.05
20,1,84,15,171.45,233.55
20,1,84,14,185.89,209.75
20,1,76,29,280.86,438.4
20,1,75,24,218.7,364.5
20,1,44,27,369.9,417.65
20,1,44,24,240.01,370.15
20,1,32,28,270.72,424.65
20,1,27,24,260.58,362.3
20,1,11,30,298.23,456.55
20,1,11,50,621.01,755.4
20,1,11,14,189.81,217.35
20,1,11,22,240.55,340.45
20,1,11,106,1073.32,1618.35
20,1,5,11,147.97,198.05
20,1,5,23,284.8,413.7
0,2,99,13,123.12,205.2
0,2,93,14,155.94,213.55
0,2,93,39,378.75,595.25
